Film Title;Film Description;Release Year;Actor;Rental Date;Return Date;Client;Client Email;Client Address;Client Phone;Seller's name;Code Seller - Payment;Code Seller - Rent
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
BLANKET BEVERLY;A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria;2006;THORA TEMPLE;24/5/2005 22:53;26/5/2005 22:04;CHARLOTTE HUNTER;CHARLOTTE.HUNTER@sakilacustomer.org;758 Junan Lane - Gois;9,35449E+11;Mike Hillyer;1;1
